EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
13|33.917426|-117.927353|20120601 01:01|BONITA|130|Orange County Communications Center|1125 - Traffic Hazard|0|2
14|33.917422|-117.933006|20120601 01:02|IMPERIAL|130|Orange County Communications Center|1125 - Traffic Hazard|0|2
14|34.121471|-117.513667|20120605 01:11|I15|0|Inland Communications Center|CLOSURE - Closure of a Road|0|2
15|33.730247|-117.989257|20120606 01:24|EDINGER|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
16|34.024961|-117.729588|20120605 01:19|SR60|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
16|33.730247|-117.989257|20120606 01:25|BEACH|130|Orange County Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
16|33.815713|-117.915333|20120601 01:09|I5|0|Westminster|1182 - Traffic Collision - No Injuries|0|2
18|33.768953|-117.805625|20120609 01:00|HEWES|130|Santa Ana|1125 - Traffic Hazard|0|2
18|33.858871|-117.261371|20120605 01:44|HARVILL|130|Riverside|CFIRE - Car Fire|0|2
19|33.868243|-117.759007|20120609 01:05|EB|130|Santa Ana|1125 - Traffic Hazard|0|2
24|33.853794|-117.909586|20120609 01:12|SR91|2|Westminster|1183 - Traffic Collision - No Details|0|2
27|34.106313|-117.532342|20120605 02:17|I15|1|Rancho Cucamonga|1125 - Traffic Hazard|0|2
28|33.395293|-117.593114|20120604 01:45|I5|1|Capistrano|1125 - Traffic Hazard|0|2
30|33.732872|-117.989293|20120605 02:24|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
30|34.724914|-116.0613|20120605 02:44|WB|130|Barstow|1183 - Traffic Collision - No Details|0|2
30|33.580153|-117.671856|20120606 02:24|OSO|130|Capistrano|1182 - Traffic Collision - No Injuries|0|2
32|33.939143|-117.13929|20120605 02:58|SR60|2|Riverside|1125 - Traffic Hazard|0|2
36|33.985214|-117.367681|20120605 04:27|3RD|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
37|33.836937|-117.524466|20120605 04:30|ONTARIO|130|Riverside|1125A - Animal Hazard|0|2
38|34.217294|-117.291186|20120605 04:37|SR18|130|Arrowhead|1125 - Traffic Hazard|0|2
39|33.768011|-117.867382|20120609 02:02|I5|0|Santa Ana|1183 - Traffic Collision - No Details|0|2
39|33.945807|-117.29556|20120607 01:04|I215|0|Riverside|FIRE - Report of Fire|0|2
41|33.759764|-117.831096|20120604 02:51|SR55|1|Santa Ana|1182 - Traffic Collision - No Injuries|0|2
42|33.708586|-117.851849|20120608 05:29|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
42|33.59814|-117.676303|20120606 03:00|I5|0|Capistrano|1125 - Traffic Hazard|0|2
42|33.8613|-117.877343|20120601 03:19|SR57|1|Santa Ana|1179 - Traffic Collision - 1141 Rolling|0|2
44|33.695833|-117.935049|20120608 05:51|I405|0|Westminster|1125 - Traffic Hazard|0|2
45|33.881942|-117.514321|20120606 01:11|MCKINLEY|130|Riverside|1183 - Traffic Collision - No Details|0|2
45|33.860412|-117.9876|20120610 01:13|I5|1|Westminster|1125 - Traffic Hazard|0|2
46|33.877838|-117.852772|20120607 04:53|PLACENTIA|130|Santa Ana|CFIRE - Car Fire|0|2
46|33.844095|-117.825742|20120606 03:47|SR55|0|Santa Ana|1125 - Traffic Hazard|0|2
46|33.85407|-117.946129|20120608 06:03|SR91|2|Westminster|1125 - Traffic Hazard|0|2
47|34.077386|-117.200098|20120607 01:28|SR210|3|San Bernardino|1125 - Traffic Hazard|0|2
47|33.774452|-117.906056|20120608 06:05|HASTER|130|Orange County Communications Center|1182 - Traffic Collision - No Injuries|0|2
47|33.715937|-117.966788|20120609 02:24|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
47|33.580154|-117.671544|20120607 05:44|I5|0|Capistrano|1182 - Traffic Collision - No Injuries|0|2
48|33.942505|-117.278925|20120605 05:36|SR60|2|Riverside|1125 - Traffic Hazard|0|2
48|33.520543|-117.665822|20120606 04:12|I5|1|Capistrano|1182 - Traffic Collision - No Injuries|0|2
48|33.690342|-117.869475|20120605 04:41|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
49|33.438995|-117.622237|20120604 04:52|I5|0|Capistrano|1125 - Traffic Hazard|0|2
49|33.774983|-118.085807|20120608 06:09|I405|0|Westminster|1182 - Traffic Collision - No Injuries|0|2
50|34.030738|-117.593224|20120620 01:43|SR60|3|Rancho Cucamonga|1125 - Traffic Hazard|0|2
50|34.236547|-117.425119|20120613 01:32|I15|1|San Bernardino|1179 - Traffic Collision - 1141 Rolling|0|2
50|34.106366|-117.53708|20120606 01:16|FOOTHILL|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
50|33.744626|-118.004438|20120606 04:53|I405|0|Westminster|1125 - Traffic Hazard|0|2
50|33.759826|-117.92021|20120605 04:59|HARBOR|130|Orange County Communications Center|FIRE - Report of Fire|0|2
51|34.068416|-117.374729|20120620 01:43|I10|2|San Bernardino|1182 - Traffic Collision - No Injuries|0|2
51|33.835003|-117.835569|20120607 06:03|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
51|33.795606|-118.089666|20120606 05:47|LACC|130|Orange County Communications Center|20002 - Hit and Run - No Injuries|0|2
51|33.85381|-117.906691|20120605 05:01|SR91|2|Westminster|1125 - Traffic Hazard|0|2
51|33.49162|-117.66203|20120604 05:19|I5|1|Capistrano|1125 - Traffic Hazard|0|2
52|34.066838|-117.45379|20120619 01:12|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
52|33.657578|-117.778042|20120601 04:21|I405|1|Santa Ana|1125 - Traffic Hazard|0|2
52|34.121471|-117.513667|20120604 01:00|I15|0|Inland Communications Center|CLOSURE - Closure of a Road|0|2
53|34.067247|-117.435678|20120619 01:12|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
53|33.83788|-117.87623|20120607 06:07|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
53|33.854147|-117.889259|20120601 04:22|SR91|2|Santa Ana|1125 - Traffic Hazard|0|2
53|33.690342|-117.869475|20120606 06:19|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
53|33.938707|-117.877157|20120608 06:22|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
54|34.081951|-117.710008|20120619 01:12|I10|3|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
54|33.810253|-117.831994|20120607 06:07|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
54|34.067317|-117.335779|20120601 01:09|I10|2|San Bernardino|1183 - Traffic Collision - No Details|0|2
54|33.763715|-117.972386|20120604 05:31|MAGNOLIA|130|Westminster|1182 - Traffic Collision - No Injuries|0|2
54|34.249286|-117.442224|20120613 01:49|I15|0|San Bernardino|1125 - Traffic Hazard|0|2
55|33.787858|-117.831037|20120607 06:07|SR55|1|Santa Ana|1125 - Traffic Hazard|0|2
55|33.886397|-117.517843|20120612 01:06|SR91|3|Riverside|1125 - Traffic Hazard|0|2
55|34.106366|-117.53708|20120606 01:21|FOOTHILL|130|Inland Communications Center|1179 - Traffic Collision - 1141 Rolling|0|2
55|33.709917|-117.782376|20120604 05:35|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
55|33.852975|-117.973712|20120608 06:26|MAGNOLIA|130|Westminster|1179 - Traffic Collision - 1141 Rolling|0|2
55|33.657879|-117.777741|20120605 05:38|I405|0|Santa Ana|1125 - Traffic Hazard|0|2
56|33.84935|-117.976124|20120607 06:11|MAGNOLIA|0|Westminster|20002 - Hit and Run - No Injuries|0|2
56|33.725621|-117.803943|20120606 06:22|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
56|34.072424|-117.482144|20120614 01:35|14873|130|Rancho Cucamonga|1125 - Traffic Hazard|0|2
56|33.580324|-117.721957|20120610 01:39|SR73|1|Capistrano|1183 - Traffic Collision - No Details|0|2
57|33.418622|-117.605009|20120601 05:12|I5|1|Capistrano|1125 - Traffic Hazard|0|2
58|33.855933|-117.78675|20120607 06:16|SR91|3|Santa Ana|1125 - Traffic Hazard|0|2
58|33.774587|-118.074823|20120610 01:44|I405|0|Westminster|1183 - Traffic Collision - No Details|0|2
58|34.024187|-117.558426|20120601 01:16|SR60|3|Rancho Cucamonga|20002 - Hit and Run - No Injuries|0|2
58|33.859174|-117.876371|20120604 06:06|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
58|34.067508|-117.593351|20120604 01:24|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
59|34.066838|-117.45379|20120619 01:22|I10|2|Rancho Cucamonga|CFIRE - Car Fire|0|2
59|34.021903|-117.550065|20120601 01:17|SR60|3|Riverside|1183 - Traffic Collision - No Details|0|2
59|33.409058|-117.600171|20120605 06:17|I5|1|Capistrano|CFIRE - Car Fire|0|2
59|33.898573|-117.55999|20120613 02:15|I15|1|Riverside|1144 - Fatality|0|2
60|34.104141|-117.431514|20120607 02:02|FONTANA|130|San Bernardino|ANIMAL - Live or Dead Animal|0|2
60|33.606557|-117.694148|20120607 06:19|I5|1|Capistrano|1125 - Traffic Hazard|0|2
60|33.774877|-118.086325|20120608 07:04|I405|1|Westminster|1125 - Traffic Hazard|0|2
60|33.645147|-117.735256|20120606 06:37|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
60|33.749456|-118.010632|20120604 06:12|I405|1|Westminster|1125 - Traffic Hazard|0|2
60|33.677638|-117.758035|20120605 06:22|I5|0|Santa Ana|1125 - Traffic Hazard|0|2
61|33.677318|-117.881909|20120607 06:21|SR55|1|Santa Ana|ANIMAL - Live or Dead Animal|0|2
62|33.910785|-117.883678|20120604 06:33|SR57|1|Santa Ana|1125 - Traffic Hazard|0|2
62|33.395293|-117.593114|20120605 06:29|I5|1|Capistrano|1125 - Traffic Hazard|0|2
62|33.737025|-117.823226|20120601 05:39|I5|1|Santa Ana|1125 - Traffic Hazard|0|2
62|33.787929|-117.879783|20120608 07:09|SR57|0|Santa Ana|1125 - Traffic Hazard|0|2
